x-axis,1,2,3
second,Volt,Volt,Volt
+29.35000E-03,+1.88125002E+00,+2.78125000E+00,+2.81824994E+00
+29.36000E-03,+1.35000002E+00,+2.59375000E+00,+2.44324994E+00
+29.37000E-03,+881.25002E-03,+2.03125000E+00,+1.81824994E+00
+29.38000E-03,+693.75002E-03,+1.31250000E+00,+1.09949994E+00
+29.39000E-03,+850.00002E-03,+718.75000E-03,+568.24994E-03
+29.40000E-03,+1.28750002E+00,+437.50000E-03,+443.24994E-03
+29.41000E-03,+1.85000002E+00,+625.00000E-03,+724.49994E-03
+29.42000E-03,+2.28750002E+00,+1.15625000E+00,+1.44324994E+00
+29.43000E-03,+2.53750002E+00,+1.84375000E+00,+2.13074994E+00
+29.44000E-03,+2.41250002E+00,+2.46875000E+00,+2.66199994E+00
+29.45000E-03,+1.97500002E+00,+2.78125000E+00,+2.84949994E+00
+29.46000E-03,+1.44375002E+00,+2.68750000E+00,+2.59949994E+00
+29.47000E-03,+912.50002E-03,+2.18750000E+00,+1.94324994E+00
+29.48000E-03,+725.00002E-03,+1.46875000E+00,+1.19324994E+00
+29.49000E-03,+787.50002E-03,+812.50000E-03,+630.74994E-03
+29.50000E-03,+1.19375002E+00,+468.75000E-03,+411.99994E-03
+29.51000E-03,+1.78750002E+00,+593.75000E-03,+693.24994E-03
+29.52000E-03,+2.25625002E+00,+1.09375000E+00,+1.31824994E+00
+29.53000E-03,+2.50625002E+00,+1.78125000E+00,+2.06824994E+00
+29.54000E-03,+2.41250002E+00,+2.43750000E+00,+2.63074994E+00
+29.55000E-03,+1.97500002E+00,+2.78125000E+00,+2.88074994E+00
+29.56000E-03,+1.35000002E+00,+2.68750000E+00,+2.56824994E+00
+29.57000E-03,+912.50002E-03,+2.18750000E+00,+1.94324994E+00
+29.58000E-03,+725.00002E-03,+1.46875000E+00,+1.19324994E+00
+29.59000E-03,+850.00002E-03,+812.50000E-03,+599.49994E-03
+29.60000E-03,+1.28750002E+00,+500.00000E-03,+443.24994E-03
+29.61000E-03,+1.91250002E+00,+625.00000E-03,+724.49994E-03
